city_id,city
1,Aalborg
2,Aarhus
3,Akureyri
4,Amsterdam
5,Antalya
6,Antwerp
7,Athens
8,Aveiro
9,Barcelona
10,Belgrade
11,Bergen
12,Berlin
13,Bilbao
14,Bordeaux
15,Braga
16,Bratislava
17,Bregenz
18,Bruges
19,Brussels
20,Budapest
21,Cambridge
22,Cannes
23,Coimbra
24,Cologne
25,Copenhagen
26,Dnipro
27,Dresden
28,Dublin
29,Edinburgh
30,Esch-sur-Alzette
31,Florence
32,Frankfurt
33,Geneva
34,Ghent
35,Gothenburg
36,Granada
37,Graz
38,Hamburg
39,Heidelberg
40,Helsingør
41,Helsinki
42,Innsbruck
43,Istanbul
44,Kazan
45,Kharkiv
46,Kiruna
47,Krakow
48,Kyiv
49,Leuven
50,Lisbon
51,Liverpool
52,Ljubljana
53,London
54,Lucerne
55,Luxembourg
56,Luxembourg City
57,Lviv
58,Lyon
59,Madrid
60,Malmö
61,Manchester
62,Marseille
63,Mdina
64,Milan
65,Monaco-Ville
66,Moscow
67,Munich
68,Málaga
69,Nafplio
70,Namur
71,Naples
72,Nice
73,Niš
74,Novi Sad
75,Odense
76,Odessa
77,Oporto
78,Oslo
79,Ostend
80,Paris
81,Pisa
82,Porto
83,Prague
84,Reykjavik
85,Rome
86,Roskilde
87,Salzburg
88,San Sebastián
89,Seville
90,Sochi
91,St. Petersburg
92,Stockholm
93,Strasbourg
94,Subotica
95,Tromsø
96,Uppsala
97,Valencia
98,Valletta
99,Venice
100,Verona
101,Vienna
102,Visby
103,Vladivostok
104,Warsaw
105,Zurich
