city_id,annual_tourists,cost_of_living
85,14000000,Medium-high
31,10000000,Medium-high
99,10000000,Medium-high
64,7000000,High
71,5000000,Medium
81,1500000,Medium
100,1000000,Medium
9,12700000,Medium-high
59,7000000,Medium-high
89,3500000,Medium
97,2500000,Medium
36,2000000,Medium
68,2000000,Medium
13,1500000,Medium-high
88,1000000,Medium-high
80,37500000,High
72,4000000,Medium-high
62,3500000,Medium
58,2000000,Medium-high
14,1500000,Medium-high
93,1000000,Medium-high
22,800,High
101,7500000,Medium-high
87,3000000,Medium-high
42,2000000,Medium-high
37,1000000,Medium
17,400,Medium-high
19,10000000,Medium-high
18,8000000,Medium-high
34,5000000,Medium
6,4000000,Medium-high
49,2000000,Medium
79,200,Medium
70,100,Medium
25,10000000,High
2,2500000,Medium
75,1500000,Medium
86,500,Medium
40,400,Medium-high
1,300,Medium
12,13500000,Medium-high
67,10000000,Medium-high
32,7000000,High
24,5000000,Medium
38,5000000,Medium-high
27,3000000,Medium
39,2000000,Medium-high
65,3000000,Extremely high
66,12500000,Medium-high
91,8000000,Medium-high
90,3000000,Medium-high
44,2000000,Medium
103,1000000,Medium-high
7,10000000,Medium-high
69,500,Medium
50,3500000,Medium-high
82,2500000,Medium-high
8,300,Medium
15,200,Medium
23,150,Medium
78,2500000,High
11,1500000,Medium-high
95,300,Medium-high
92,2500000,Medium-high
35,1500000,Medium
60,1000000,Medium
102,200,Medium-high
96,150,Medium
46,100,Medium-high
105,3000000,High
33,2000000,High
54,1500000,Medium-high
43,15000000,Medium-high
5,10000000,Medium-high
48,3500000,Medium-high
57,2000000,Medium
76,1000000,Medium
45,500,Medium
26,500,Medium
53,25000000,High
29,3000000,Medium-high
61,2000000,Medium-high
51,1500000,Medium-high
21,1000000,Medium-high
56,1500000,Medium-high
30,300,Medium
98,1500000,Medium-high
63,1000000,Medium-high
84,2500000,High
3,200,Medium
10,1500000,Medium
74,500,Medium
73,300,Medium
94,20,Medium
